stop,pagerank
Narayankere,0.0002925837785767904
Vidyaranyapura 6th Block,0.00029222374792436863
Heritage Apartment,0.00029222374792436863
Kannuru,0.00029203572552544545
CMH Road,0.00029192210548227267
Summanahalli Depot-31,0.0002915329091441802
Sidedahalli,0.00029080894708160524
Andrahalli,0.0002894008509133362
Canara Bank Cunningham Road,0.0002893635925409182
Meesaganahalli,0.00028849302857858635
Maruthi Nagara Kannur Road,0.00028849302857858635
HP Petrol Bunk Coles Road,0.00028773564488414544
Sadasdashiva Nagar Indian Bank,0.00028773564488414544
Mind Tree Global Villiage,0.0002871415122900142
Kuguru,0.00028706641228441493
Madhugirihalli,0.00028706641228441493
